PS2.QH3F	86.0451	87.2451	88.4451	2.4000	69.0000	69.0000
DRIFT_3	88.4451	88.4801	88.5151	0.0700	69.0000	69.0000
PS2.BPM51	88.5151	88.5451	88.5751	0.0600	69.0000	69.0000
DRIFT_3	88.5751	88.6101	88.6451	0.0700	69.0000	69.0000
SX1	88.6451	88.7951	88.9451	0.3000	69.0000	69.0000
DRIFT_7	88.9451	89.2451	89.5451	0.6000	69.0000	69.0000
PS2.VK81	89.5451	89.6451	89.7451	0.2000	50.0000	50.0000
PS2.QH4F	89.7451	90.4451	91.1451	1.4000	50.0000	50.0000
DRIFT_3	91.1451	91.1801	91.2151	0.0700	50.0000	50.0000
PS2.BPM81	91.2151	91.2451	91.2751	0.0600	50.0000	50.0000
DRIFT_3	91.2751	91.3101	91.3451	0.0700	50.0000	50.0000
SY2	91.3451	91.4951	91.6451	0.3000	50.0000	50.0000
DRIFT_9	91.6451	92.0451	92.4451	0.8000	50.0000	50.0000
MB	92.4451	94.3276	96.2101	3.7650	145.7000	110.9000
DRIFT_8	96.2101	96.6101	97.0101	0.8000	50.0000	50.0000
SY2	97.0101	97.1601	97.3101	0.3000	50.0000	50.0000
PS2.VK82	97.3101	97.4101	97.5101	0.2000	50.0000	50.0000
PS2.QH4F	97.5101	98.2101	98.9101	1.4000	50.0000	50.0000
DRIFT_3	98.9101	98.9451	98.9801	0.0700	50.0000	50.0000
PS2.BPM82	98.9801	99.0101	99.0401	0.0600	50.0000	50.0000
DRIFT_13	99.0401	99.3751	99.7101	0.6700	69.0000	69.0000
SX1	99.7101	99.8601	100.0101	0.3000	69.0000	69.0000
PS2.HK52	100.0101	100.1101	100.2101	0.2000	69.0000	69.0000
PS2.QH3F	100.2101	101.4101	102.6101	2.4000	69.0000	69.0000
DRIFT_3	102.6101	102.6451	102.6801	0.0700	69.0000	69.0000
PS2.BPM52	102.6801	102.7101	102.7401	0.0600	69.0000	69.0000
DRIFT_14	102.7401	103.3251	103.9101	1.1700	69.0000	69.0000
MB	103.9101	105.7926	107.6751	3.7650	145.7000	110.9000
DRIFT_15	107.6751	108.0751	108.4751	0.8000	145.7000	110.9000
MB	108.4751	110.3576	112.2401	3.7650	145.7000	110.9000
DRIFT_6	112.2401	112.7901	113.3401	1.1000	58.0000	58.0000
PS2.VK22	113.3401	113.4401	113.5401	0.2000	58.0000	58.0000
PS2.QH2F	113.5401	114.0901	114.6401	1.1000	58.0000	58.0000
DRIFT_3	114.6401	114.6751	114.7101	0.0700	58.0000	58.0000
PS2.BPM22	114.7101	114.7401	114.7701	0.0600	58.0000	58.0000
DRIFT_12	114.7701	115.3551	115.9401	1.1700	58.0000	58.0000
MB	115.9401	117.8226	119.7051	3.7650	145.7000	110.9000
DRIFT_15	119.7051	120.1051	120.5051	0.8000	145.7000	110.9000
MB	120.5051	122.3876	124.2701	3.7650	145.7000	110.9000
DRIFT_6	124.2701	124.8201	125.3701	1.1000	58.0000	58.0000
PS2.HK2	125.3701	125.4701	125.5701	0.2000	58.0000	58.0000
PS2.QH1F	125.5701	126.1201	126.6701	1.1000	58.0000	58.0000
DRIFT_3	126.6701	126.7051	126.7401	0.0700	58.0000	58.0000
PS2.BPM2	126.7401	126.7701	126.8001	0.0600	58.0000	58.0000
DRIFT_12	126.8001	127.3851	127.9701	1.1700	58.0000	58.0000
MB	127.9701	129.8526	131.7351	3.7650	145.7000	110.9000
DRIFT_15	131.7351	132.1351	132.5351	0.8000	145.7000	110.9000
MB	132.5351	134.4176	136.3001	3.7650	145.7000	110.9000
DRIFT_6	136.3001	136.8501	137.4001	1.1000	58.0000	58.0000
PS2.VK23	137.4001	137.5001	137.6001	0.2000	58.0000	58.0000
PS2.QH2F	137.6001	138.1501	138.7001	1.1000	58.0000	58.0000
DRIFT_3	138.7001	138.7351	138.7701	0.0700	58.0000	58.0000
PS2.BPM23	138.7701	138.8001	138.8301	0.0600	58.0000	58.0000
DRIFT_12	138.8301	139.4151	140.0001	1.1700	58.0000	58.0000
MB	140.0001	141.8826	143.7651	3.7650	145.7000	110.9000
DRIFT_15	143.7651	144.1651	144.5651	0.8000	145.7000	110.9000
MB	144.5651	146.4476	148.3301	3.7650	145.7000	110.9000
DRIFT_6	148.3301	148.8801	149.4301	1.1000	69.0000	69.0000
PS2.HK53	149.4301	149.5301	149.6301	0.2000	69.0000	69.0000
PS2.QH3F	149.6301	150.8301	152.0301	2.4000	69.0000	69.0000
DRIFT_3	152.0301	152.0651	152.1001	0.0700	69.0000	69.0000
PS2.BPM53	152.1001	152.1301	152.1601	0.0600	69.0000	69.0000
DRIFT_3	152.1601	152.1951	152.2301	0.0700	69.0000	69.0000
SX1	152.2301	152.3801	152.5301	0.3000	69.0000	69.0000
DRIFT_7	152.5301	152.8301	153.1301	0.6000	69.0000	69.0000
PS2.VK83	153.1301	153.2301	153.3301	0.2000	50.0000	50.0000
PS2.QH4F	153.3301	154.0301	154.7301	1.4000	50.0000	50.0000
DRIFT_3	154.7301	154.7651	154.8001	0.0700	50.0000	50.0000
PS2.BPM83	154.8001	154.8301	154.8601	0.0600	50.0000	50.0000
DRIFT_3	154.8601	154.8951	154.9301	0.0700	50.0000	50.0000
SY2	154.9301	155.0801	155.2301	0.3000	50.0000	50.0000
DRIFT_9	155.2301	155.6301	156.0301	0.8000	50.0000	50.0000
MB	156.0301	157.9126	159.7951	3.7650	145.7000	110.9000
DRIFT_9	159.7951	160.1951	160.5951	0.8000	50.0000	50.0000
SY2	160.5951	160.7451	160.8951	0.3000	50.0000	50.0000
PS2.VK84	160.8951	160.9951	161.0951	0.2000	50.0000	50.0000
PS2.QH4F	161.0951	161.7951	162.4951	1.4000	50.0000	50.0000
DRIFT_3	162.4951	162.5301	162.5651	0.0700	50.0000	50.0000
PS2.BPM84	162.5651	162.5951	162.6251	0.0600	50.0000	50.0000
DRIFT_10	162.6251	162.9601	163.2951	0.6700	69.0000	69.0000
SX1	163.2951	163.4451	163.5951	0.3000	69.0000	69.0000
